org_name,slug,primary_need,rent_slug,unlit_records
The Salvation Army — Northwest Community Center,the-salvation-army-northwest-community-center,rent,,
The Salvation Army — Temple Community Center,the-salvation-army-temple-community-center,rent,,
Tomball Emergency Assistance Ministries,tomball-emergency-assistance-ministries,utility,,
Transylvania County Department of Social Services,transylvania-county-department-of-social-services-energy,utility,transylvania-county-department-of-social-services-emergency,transylvania-county-department-of-social-services-fns
Travis County Health & Human Services/Veterans Services,travis-county-health-human-services-veterans-services-ceap,utility,travis-county-health-human-services-veterans-services-csbg,travis-county-health-human-services-veterans-services-wap
"Tri-County Community Action, Inc.",tri-county-community-action-inc-ceap,utility,tri-county-community-action-inc-csbg,tri-county-community-action-inc-wap
"Tri-County Community Council, Inc.",tri-county-community-council-liheap,utility,,
Trinity Klein Food Pantry,trinity-klein-food-pantry,other,,
Tyrrell County Department of Social Services,tyrrell-county-department-of-social-services-energy,utility,tyrrell-county-department-of-social-services-emergency,tyrrell-county-department-of-social-services-fns
Union County Department of Social Services,union-county-department-of-social-services-energy,utility,union-county-department-of-social-services-emergency,union-county-department-of-social-services-fns
United Way of Greater Houston,united-way-of-greater-houston,other,,
Vance County Department of Social Services,vance-county-department-of-social-services-energy,utility,vance-county-department-of-social-services-emergency,vance-county-department-of-social-services-fns
Volusia County Community Assistance Division,volusia-county-community-assistance-division-liheap,utility,,
Wake County Department of Social Services,wake-county-department-of-social-services-energy,utility,wake-county-department-of-social-services-emergency,wake-county-department-of-social-services-fns
Warren County Department of Social Services,warren-county-department-of-social-services-energy,utility,warren-county-department-of-social-services-emergency,warren-county-department-of-social-services-fns
Washington County Department of Social Services,washington-county-department-of-social-services-energy,utility,washington-county-department-of-social-services-emergency,washington-county-department-of-social-services-fns
Watauga County Department of Social Services,watauga-county-department-of-social-services-energy,utility,watauga-county-department-of-social-services-emergency,watauga-county-department-of-social-services-fns
Wayne County Department of Social Services,wayne-county-department-of-social-services-energy,utility,wayne-county-department-of-social-services-emergency,wayne-county-department-of-social-services-fns
Webb County Community Action Agency,webb-county-community-action-agency-ceap,utility,webb-county-community-action-agency-csbg,webb-county-community-action-agency-wap
"Wesley Community Center, Inc.",wesley-community-center-inc,utility,,
West Houston Assistance Ministries,west-houston-assistance-ministries,utility,,
"West Texas Opportunities, Inc.",west-texas-opportunities-inc-ceap,utility,west-texas-opportunities-inc-csbg,west-texas-opportunities-inc-wap
Wheeler Avenue Baptist Church Social Service Center,wheeler-avenue-baptist-church-social-service-center,utility,,
Wilkes County Department of Social Services,wilkes-county-department-of-social-services-energy,utility,wilkes-county-department-of-social-services-emergency,wilkes-county-department-of-social-services-fns
"Williamson-Burnet County Opportunities, Inc.",williamson-burnet-county-opportunities-inc-ceap,utility,williamson-burnet-county-opportunities-inc-csbg,williamson-burnet-county-opportunities-inc-wap
Wilson County Department of Social Services,wilson-county-department-of-social-services-energy,utility,wilson-county-department-of-social-services-emergency,wilson-county-department-of-social-services-fns
Windsor Village United Methodist Church,windsor-village-united-methodist-church,utility,,
YMCA of Greater Houston,ymca-of-greater-houston,other,,
Yadkin County Department of Social Services,yadkin-county-department-of-social-services-energy,utility,yadkin-county-department-of-social-services-emergency,yadkin-county-department-of-social-services-fns
Yancey County Department of Social Services,yancey-county-department-of-social-services-energy,utility,yancey-county-department-of-social-services-emergency,yancey-county-department-of-social-services-fns
You Thrive Florida,you-thrive-florida-liheap,utility,,
