	108	Stanly County Department of Social Services	Albemarle		+17049826100	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	11	67,326	Stanly	28001 28002 28009 28071 28097 28124 28127 28128 28129 28137 28163	NCDHHS Local DSS Directory	stanly-county-department-of-social-services-energy	stanly-county-department-of-social-services-emergency
	109	Step Up Suncoast, Inc.			+19418270188	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	2	30	484,420	Hardee; Manatee	33834 33865 33873 33890 34201 34202 34203 34204 34205 34206 34207 34208 34209 34210 34211 34212 34215 34216 34217 34219 34220 34221 34222 34228 34243 34251 34264 34270 34280 34282	FloridaCommerce LIHEAP provider list	step-up-suncoast-inc-liheap	
	110	Stokes County Department of Social Services	Danbury		+13365932861	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	45,857	Stokes	27016 27019 27021 27022 27025 27041 27042 27043 27046 27050 27052 27053	NCDHHS Local DSS Directory	stokes-county-department-of-social-services-energy	stokes-county-department-of-social-services-emergency
	111	Surry County Department of Social Services	Dobson		+13364018700	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	12	71,547	Surry	27007 27017 27024 27030 27041 27043 27047 27049 27053 28621 28676 28683	NCDHHS Local DSS Directory	surry-county-department-of-social-services-energy	surry-county-department-of-social-services-emergency
	112	Suwannee River Economic Council, Inc.			+19049646696	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	10	66	630,795	Bradford; Columbia; Dixie; Gilchrist; Hamilton; Lafayette; Madison; Suwannee; Taylor; Union	28079 28103 28104 28110 28111 28112 28133 28173 28174 32008 32024 32025 32038 32042 32044 32054 32055 32056 32058 32060 32061 32062 32064 32066 32071 32083 32091 32094 32096 32359 32619 32622 32628 32643 32648 32656 32666 32680 32693 75852 76436 76457 76525 76531 76538 76565 77864 77871 77872 79508 79519 79530 79536 79541 79561 79562 79563 79566 79601 79602 79603 79604 79605 79606 79607 79608	FloridaCommerce LIHEAP provider list	suwannee-river-economic-council-inc-liheap	
	113	Swain County Department of Social Services	Bryson City		+18284886921	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	13,945	Swain	28713 28719 28789	NCDHHS Local DSS Directory	swain-county-department-of-social-services-energy	swain-county-department-of-social-services-emergency
	114	The Salvation Army			+19419544673	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	33	476,604	Sarasota	34223 34228 34229 34230 34231 34232 34233 34234 34235 34236 34237 34238 34239 34240 34241 34242 34243 34272 34274 34275 34276 34277 34284 34285 34286 34287 34288 34289 34290 34291 34292 34293 34295	FloridaCommerce LIHEAP provider list	the-salvation-army-liheap	
	115	Transylvania County Department of Social Services	Brevard		+18288843174	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	9	34,103	Transylvania	28708 28712 28718 28742 28747 28766 28768 28772 28774	NCDHHS Local DSS Directory	transylvania-county-department-of-social-services-energy	transylvania-county-department-of-social-services-emergency
	116	Tri-County Community Council, Inc			+18505474263	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	5	45	575,488	Holmes; Okaloosa; Santa Rosa; Walton; Washington	32425 32433 32435 32439 32440 32455 32459 32461 32462 32464 32530 32531 32536 32539 32540 32541 32542 32544 32547 32548 32549 32550 32561 32562 32563 32564 32565 32566 32567 32569 32570 32571 32572 32578 32579 32580 32583 32588 77426 77833 77834 77835 77880 78932 78946	FloridaCommerce LIHEAP provider list	tri-county-community-council-inc-liheap	
	117	Tyrrell County Department of Social Services	Columbia		+12527963421	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	3,517	Tyrrell	27826 27925 27928	NCDHHS Local DSS Directory	tyrrell-county-department-of-social-services-energy	tyrrell-county-department-of-social-services-emergency
