	69	Lee County Department of Human Services			+12395337900	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	7	18,451	Lee	FloridaCommerce LIHEAP provider list	lee-county-department-of-human-services-liheap	
	70	Lee County Department of Social Services	Sanford		+19197184690	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	7	18,451	Lee	NCDHHS Local DSS Directory	lee-county-department-of-social-services-energy	lee-county-department-of-social-services-emergency
	71	Lenoir County Department of Social Services	Kinston		+12525596400	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	8	55,332	Lenoir	NCDHHS Local DSS Directory	lenoir-county-department-of-social-services-energy	lenoir-county-department-of-social-services-emergency
	72	Lincoln County Department of Social Services	Lincolnton		+17047320738	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	10	97,611	Lincoln	NCDHHS Local DSS Directory	lincoln-county-department-of-social-services-energy	lincoln-county-department-of-social-services-emergency
	73	Macon County Department of Social Services	Franklin		+18283492124	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	6	38,717	Macon	NCDHHS Local DSS Directory	macon-county-department-of-social-services-energy	macon-county-department-of-social-services-emergency
	74	Madison County Department of Social Services	Marshall		+18286499498	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	4	13,877	Madison	NCDHHS Local DSS Directory	madison-county-department-of-social-services-energy	madison-county-department-of-social-services-emergency
	75	Martin County Department of Social Services	Williamston		+12527894400	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	3	5,179	Martin	NCDHHS Local DSS Directory	martin-county-department-of-social-services-energy	martin-county-department-of-social-services-emergency
	76	McDowell County Department of Social Services	Marion		+18286523355	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	5	45,269	McDowell	NCDHHS Local DSS Directory	mcdowell-county-department-of-social-services-energy	mcdowell-county-department-of-social-services-emergency
	77	Mecklenburg County Department of Social Services	Charlotte		+17043363000	Energy Assistance (LIEAP / CIP); Food and Nutrition Services (FNS); Work First Emergency Assistance	electric_bill, eviction_prevention, gas_bill, reconnect_fee, rent_assistance, snap_benefits, utility_deposit	1	55	1,206,285	Mecklenburg	NCDHHS Local DSS Directory	mecklenburg-county-department-of-social-services-energy	mecklenburg-county-department-of-social-services-emergency
	78	Miami-Dade County Community Action Agency			+17864694640	Low-Income Home Energy Assistance Program (LIHEAP)	electric_bill, gas_bill, reconnect_fee, utility_deposit	1	114	2,838,461	Miami-Dade	FloridaCommerce LIHEAP provider list	miami-dade-county-community-action-agency-liheap	
