zip,primary_state,population
28725,NC,102
28726,NC,3787
28727,NC,
28728,NC,
28729,NC,2923
28730,NC,9707
28731,NC,8806
28732,NC,19158
28733,NC,66
28734,NC,29284
28735,NC,322
28736,NC,1026
28738,NC,
28739,NC,21251
28740,NC,2273
28741,NC,3736
28742,NC,2981
28743,NC,1980
28744,NC,
28745,NC,697
28746,NC,2726
28747,NC,2114
28748,NC,13030
28749,NC,157
28750,NC,
28751,NC,3965
28752,NC,29669
28753,NC,11321
28754,NC,8074
28755,NC,21
28756,NC,4156
28757,NC,901
28758,NC,17
28759,NC,7728
28760,NC,
28761,NC,8317
28762,NC,6661
28763,NC,2842
28765,NC,
28766,NC,1440
28768,NC,6820
28770,NC,35
28771,NC,7581
28772,NC,1365
28773,NC,3204
28774,NC,1571
28775,NC,573
28776,NC,
28777,NC,10635
28778,NC,10328
28779,NC,16586
28781,NC,760
28782,NC,5889
28783,NC,1473
28784,NC,
28785,NC,8238
28786,NC,21204
28787,NC,21948
28788,NC,168
28789,NC,5804
28790,NC,3128
28791,NC,14899
28792,NC,35962
28793,NC,
28801,NC,15148
28802,NC,
28803,NC,34108
28804,NC,23964
28805,NC,18554
28806,NC,44621
28810,NC,
28813,NC,
28814,NC,
28815,NC,
28816,NC,
28901,NC,5212
28902,NC,1398
28903,NC,
28904,NC,9004
28905,NC,3277
28906,NC,19896
28909,NC,1060
32003,FL,29142
32004,FL,
32006,FL,
32007,FL,
32008,FL,5397
32009,FL,3213
32011,FL,15678
32013,FL,5
32024,FL,20106
32025,FL,21886
32033,FL,4789
32034,FL,38167
32035,FL,
32038,FL,10141
32040,FL,7958
32041,FL,
32042,FL,
32043,FL,30369
32044,FL,1629
32046,FL,9626
32050,FL,
32052,FL,8462
32053,FL,3815
32054,FL,12789
32055,FL,16624
32056,FL,
32058,FL,4386
32059,FL,2594
32060,FL,22111
32061,FL,364
32062,FL,2547
32063,FL,14360
32064,FL,7495
32065,FL,40164
32066,FL,6844
32067,FL,
32068,FL,57458
32071,FL,3854
32073,FL,43527
32079,FL,517
32080,FL,21889
32081,FL,24672
32082,FL,31861
32083,FL,2626
32084,FL,34526
32085,FL,
32086,FL,31452
32087,FL,5507
32091,FL,17806
32092,FL,43691
32094,FL,2862
32095,FL,16607
32096,FL,2791
32097,FL,23564
32099,FL,
32102,FL,2768
32105,FL,
32110,FL,8776
32111,FL,
32112,FL,7460
32113,FL,6396
32114,FL,34943
32115,FL,
32117,FL,28223
32118,FL,17906
32119,FL,22498
32120,FL,
32121,FL,
32122,FL,
32124,FL,8793
32125,FL,
32126,FL,
32127,FL,29999
32128,FL,20968
32129,FL,21594
32130,FL,5485
32131,FL,4806
32132,FL,8189
32133,FL,310
32134,FL,7938
32135,FL,
32136,FL,8432
32137,FL,46258
32138,FL,
32139,FL,1399
32140,FL,1822
32141,FL,17955
32143,FL,
32145,FL,5608
32147,FL,1219
32148,FL,10979
32158,FL,
32159,FL,30455
32160,FL,
32162,FL,51905
32163,FL,29064
32164,FL,49412
32168,FL,30058
32169,FL,10621
32170,FL,
32173,FL,
32174,FL,53097
32175,FL,
32176,FL,14410
32177,FL,25380
32178,FL,
32179,FL,9075
32180,FL,3834
32181,FL,2259
32182,FL,20
32183,FL,
32185,FL,
32187,FL,1667
32189,FL,5887
32190,FL,1115
32192,FL,94
32193,FL,983
32195,FL,3462
32198,FL,
32202,FL,6544
32203,FL,4
32204,FL,8673
32205,FL,29605
32206,FL,18283
32207,FL,36207
32208,FL,33286
32209,FL,36656
32210,FL,66415
32211,FL,34168
32212,FL,1393
32214,FL,0
32216,FL,42847
32217,FL,20543
32218,FL,67040
32219,FL,14474
32220,FL,13037
32221,FL,30961
32222,FL,13564
32223,FL,25600
32224,FL,42395
32225,FL,57441
32226,FL,20306
32227,FL,3799
32228,FL,219
32229,FL,
32233,FL,23980
32234,FL,7514
32235,FL,
32236,FL,
32238,FL,
32239,FL,
32240,FL,
32241,FL,
32244,FL,63292
32245,FL,
32246,FL,58105
32247,FL,
32250,FL,30080
32254,FL,14545
32255,FL,
32256,FL,53611
32257,FL,41439
32258,FL,37859
32259,FL,62169
32260,FL,
32266,FL,7217
32277,FL,33174
32301,FL,29686
32302,FL,
32303,FL,48644
32304,FL,50007
32305,FL,19199
32306,FL,1711
32307,FL,1207
32308,FL,23355
32309,FL,31189
32310,FL,17209
32311,FL,21218
32312,FL,34304
32313,FL,10
32314,FL,
32315,FL,
32316,FL,
32317,FL,14459
32318,FL,
32320,FL,3726
32321,FL,6254
32322,FL,4213
32324,FL,4554
32326,FL,
32327,FL,30048
32328,FL,3721
32330,FL,541
32331,FL,4192
32332,FL,1411
32333,FL,11499
32334,FL,1616
32336,FL,1408
32337,FL,30
32340,FL,10744
32343,FL,3621
32344,FL,12705
32345,FL,
32346,FL,1750
32347,FL,7805
32348,FL,11782
32350,FL,1365
32351,FL,16526
32352,FL,5674
32355,FL,284
32356,FL,117
32357,FL,
32358,FL,2185
32359,FL,1837
32360,FL,106
32361,FL,237
32362,FL,
32399,FL,0
32401,FL,20487
32402,FL,
32403,FL,141
32404,FL,38186
32405,FL,28158
32406,FL,
32407,FL,14366
32408,FL,17479
32409,FL,10394
32410,FL,439
32411,FL,
32413,FL,15217
32417,FL,
32420,FL,2289
32421,FL,4214
32422,FL,
32423,FL,1213
32424,FL,7145
32425,FL,14419
32426,FL,778
32427,FL,1293
32428,FL,17946
32430,FL,1095
32431,FL,4981
32432,FL,98
32433,FL,18036
32435,FL,6935
32437,FL,612
32438,FL,4363
32439,FL,12943
32440,FL,7581
32442,FL,3569
32443,FL,2975
32444,FL,19913
32445,FL,2468
32446,FL,9970
32447,FL,
32448,FL,8084
32449,FL,567
32455,FL,4425
32456,FL,7439
32459,FL,20567
32460,FL,5409
32461,FL,2878
32462,FL,3473
32463,FL,166
32464,FL,3858
32465,FL,7251
32466,FL,6195
32501,FL,10960
32502,FL,4277
32503,FL,33693
32504,FL,21791
32505,FL,28671
32506,FL,36017
32507,FL,31215
32508,FL,5528
32509,FL,561
32511,FL,1380
32512,FL,23
32513,FL,
32514,FL,40844
32516,FL,
32520,FL,
32522,FL,
32523,FL,
32524,FL,
32526,FL,43029
32530,FL,142
32531,FL,6532
32533,FL,30517
32534,FL,16006
32535,FL,6043
32536,FL,25807
32538,FL,
32539,FL,31749
32540,FL,
32541,FL,18419
32542,FL,3834
32544,FL,1509
32547,FL,35466
32548,FL,22399
32549,FL,
32550,FL,7828
32559,FL,
32560,FL,
32561,FL,9241
32562,FL,
32563,FL,27329
32564,FL,3159
32565,FL,6105
32566,FL,44434
32567,FL,4210
32568,FL,3093
32569,FL,12378
32570,FL,33144
32571,FL,38885
32572,FL,
32577,FL,5316
32578,FL,35075
32579,FL,10444
32580,FL,4120
32583,FL,31047
32588,FL,
32591,FL,
32601,FL,22039
32603,FL,7367
32604,FL,
32605,FL,24326
32606,FL,24380
32607,FL,35420
32608,FL,55540
32609,FL,18322
32610,FL,19
32611,FL,
32612,FL,6498
32614,FL,
32615,FL,16524
32616,FL,178
32617,FL,4295
32618,FL,7183
32619,FL,5007
32621,FL,5396
32622,FL,1456
32625,FL,1620
32626,FL,8620
32627,FL,
32628,FL,5343
32631,FL,311
32633,FL,
32634,FL,29
32635,FL,
32639,FL,325
32640,FL,10281
32641,FL,13872
32643,FL,12549
32644,FL,
32648,FL,443
32653,FL,14397
32654,FL,
32655,FL,
32656,FL,14686
32658,FL,299
32662,FL,
32663,FL,
32664,FL,504
32666,FL,5961
32667,FL,4117
32668,FL,5548
32669,FL,15890
32680,FL,10008
32681,FL,133
32683,FL,133
32686,FL,4339
32692,FL,197
